algo,param,time,fitness
RHC,20,0.9994199275970459,229.67567642418751
GA,500,26.814021110534668,261.7313622257617
SA,10.0,0.1531221866607666,202.38845206977817
MIMIC,500,16.922712087631226,228.16974472438827
RHC,20,0.8234591484069824,227.0009932419477
GA,500,26.337834119796753,252.90616270920776
SA,10.0,0.14119410514831543,237.63915838949347
MIMIC,500,17.128042936325073,255.02182569220534
RHC,20,0.8696110248565674,204.16150239959288
GA,500,26.30629301071167,255.88812482834163
SA,10.0,0.11253619194030762,197.29183622310234
MIMIC,500,12.553861856460571,261.3221223943058
RHC,20,0.8119871616363525,213.73626758702832
GA,500,11.42393183708191,260.99596390696905
SA,10.0,0.07428193092346191,249.72785629070438
MIMIC,500,20.59567904472351,215.46517836330582
RHC,20,0.7358889579772949,208.04025160723006
GA,500,29.394218921661377,270.4573743457269
SA,10.0,0.11211800575256348,221.29496609310263
MIMIC,500,16.73483681678772,232.11289712782818
