algo,param,time,fitness
RHC,10,0.580146074295044,217.15363994847235
GA,200,6.619223117828369,261.2334642638192
SA,1.0,0.03632211685180664,236.09787584940923
MIMIC,200,15.527719020843506,239.59971063265402
RHC,10,0.6980416774749756,230.89825378350343
GA,200,4.018259048461914,283.23220093983144
SA,1.0,0.033551931381225586,334.3281976978909
MIMIC,200,12.860040187835693,266.4090653447004
RHC,10,0.7436630725860596,228.27917867278893
GA,200,4.64019513130188,270.38253165610615
SA,1.0,0.10210108757019043,267.44815006811353
MIMIC,200,20.6740620136261,254.04870269638016
RHC,10,0.49721407890319824,175.125304494477
GA,200,3.48282790184021,283.1878143475895
SA,1.0,0.09044790267944336,221.3295193684933
MIMIC,200,23.108246088027954,202.76312273546716
RHC,10,0.6702227592468262,157.981662122438
GA,200,4.364467144012451,278.6757902245673
SA,1.0,0.031203031539916992,339.6410810818832
MIMIC,200,19.731333017349243,262.1190740122893
RHC,10,0.5913901329040527,223.49579436743159
GA,200,4.370864152908325,272.9152129540934
SA,1.0,0.049508094787597656,309.65742645938434
MIMIC,200,17.99701499938965,241.90533508008832
RHC,10,0.41391420364379883,254.4819647350241
GA,200,4.947479248046875,284.66980542486675
SA,1.0,0.05135607719421387,263.5256631587153
MIMIC,200,22.604356050491333,218.6730152045
RHC,10,0.5881237983703613,217.79502773778978
GA,200,4.188030004501343,276.77123108273423
SA,1.0,0.09121990203857422,247.89497233593886
MIMIC,200,24.673651933670044,215.8218272751866
RHC,10,0.7932760715484619,227.619557246525
GA,200,8.793400049209595,283.17782618442556
SA,1.0,0.07121419906616211,272.8697168203491
MIMIC,200,28.69091010093689,217.0457826349202
RHC,10,0.3297579288482666,239.47752816834796
GA,200,2.7122530937194824,287.2480574960994
SA,1.0,0.05689382553100586,285.0094370304529
MIMIC,200,17.38946008682251,241.485027295303
